Date,Region,Product,Customer,Units Sold,Unit Price,Sales
2024-03-23,South,Headphones,Customer_10,4,75.16,300.64
2025-07-22,East,Smartwatch,Customer_12,1,221.17,221.17
2024-09-07,Central,Mouse,Customer_48,1,22.71,22.71
2025-09-30,North,Smartwatch,Customer_43,3,222.81,668.43
2025-01-26,West,Mouse,Customer_21,3,29.28,87.84
2025-06-27,West,Smartphone,Customer_40,5,605.47,3027.35
2025-04-18,South,Tablet,Customer_16,7,361.44,2530.08
2025-04-18,West,Headphones,Customer_23,4,89.77,359.08
2025-10-16,East,Laptop,Customer_36,2,835.38,1670.76
2024-01-30,Central,Mouse,Customer_36,2,26.16,52.32
2024-08-08,North,Monitor,Customer_16,3,250.64,751.92
2024-03-16,North,Smartwatch,Customer_28,2,196.69,393.38
2025-04-24,South,Smartwatch,Customer_4,2,205.39,410.78
2024-11-26,East,Monitor,Customer_60,2,258.16,516.32
2024-08-31,South,Monitor,Customer_25,1,252.84,252.84
2024-10-23,North,Mouse,Customer_21,5,24.51,122.55
2024-08-30,West,Smartwatch,Customer_29,2,207.79,415.58
2025-06-04,East,Smartphone,Customer_2,3,608.84,1826.52
2025-03-26,Central,Headphones,Customer_40,3,,272.07
2024-05-24,West,Laptop,Customer_48,4,745.18,2980.72
2025-04-26,East,Laptop,Customer_53,5,831.22,4156.1
2024-04-19,East,Mouse,Customer_32,3,26.3,78.9
2025-06-24,North,Tablet,Customer_26,3,392.73,1178.19
2024-11-09,South,Headphones,Customer_23,3,74.99,224.97
2024-06-28,South,Smartwatch,Customer_4,4,195.51,782.04
2025-04-29,North,Laptop,Customer_19,3,797.39,2392.17
2024-03-20,East,Laptop,Customer_50,3,739.52,2218.56
2024-01-15,South,Headphones,Customer_38,3,85.82,257.46
2024-11-21,North,Mouse,Customer_42,1,23.26,23.26
2024-02-04,North,Mouse,Customer_52,2,24.77,49.54
2024-03-28,Central,Mouse,Customer_23,5,24.28,121.4
2025-06-20,West,Headphones,Customer_47,2,88.78,177.56
2025-12-11,South,Keyboard,Customer_57,1,40.32,40.32
2025-08-25,West,Laptop,Customer_49,2,811.64,1623.28
2024-06-04,North,Smartwatch,Customer_58,5,211.7,1058.5
2025-02-20,East,Monitor,Customer_53,1,260.89,260.89
2024-11-08,South,Headphones,Customer_59,3,80.62,241.86
2024-06-30,East,Tablet,Customer_56,3,349.75,1049.25
2025-05-31,Central,Mouse,Customer_21,3,26.84,80.52
2025-07-02,West,Mouse,Customer_11,1,26.81,26.81
2025-01-04,South,Monitor,Customer_13,6,275.48,1652.88
2024-07-09,Central,Headphones,Customer_16,2,75.01,150.02
2024-08-22,North,Headphones,Customer_15,2,74.86,149.72
2025-12-28,West,Smartwatch,Customer_13,1,215.06,215.06
2024-10-28,East,Tablet,Customer_19,1,379.86,379.86
2025-09-27,West,Monitor,Customer_1,2,281.22,562.44
2025-07-30,West,Keyboard,Customer_32,2,39.86,79.72
2024-12-02,South,Monitor,Customer_24,4,243.21,972.84
2025-01-01,West,Keyboard,Customer_2,4,44.63,178.52
2025-06-29,West,Tablet,Customer_41,3,357.58,1072.74
2024-02-23,West,Monitor,Customer_36,2,248.2,496.4
2025-09-15,South,Headphones,Customer_44,3,88.53,265.59
2025-09-04,East,Laptop,Customer_47,2,883.92,1767.84
2024-05-07,East,Tablet,Customer_55,4,347.47,1389.88
2025-03-08,East,Keyboard,Customer_6,1,42.94,42.94
2024-08-25,South,Monitor,Customer_28,1,268.71,268.71
2025-11-09,South,Monitor,Customer_35,1,265.2,265.2
2024-08-13,East,Smartwatch,Customer_21,1,187.44,187.44
2025-09-19,West,Monitor,Customer_38,1,278.97,278.97
2025-08-09,East,Smartphone,Customer_30,4,660.82,2643.28
2025-06-04,North,Smartphone,Customer_17,2,612.79,1225.58
2024-03-11,Central,Keyboard,Customer_18,4,39.9,159.6
2025-11-18,North,Smartwatch,Customer_31,1,223.98,223.98
2024-04-26,North,Tablet,Customer_18,3,331.58,994.74
2024-12-06,West,Smartwatch,Customer_50,2,201.85,403.7
2025-07-22,West,Tablet,Customer_29,2,368.91,737.82
2025-03-16,East,Smartwatch,Customer_16,1,215.84,215.84
2025-04-15,East,Monitor,Customer_37,4,,1020.36
2025-04-04,South,Tablet,Customer_26,4,402.81,1611.24
2025-10-24,North,Keyboard,Customer_16,3,38.99,116.97
2025-07-19,West,Smartwatch,Customer_12,2,215.94,431.88
2025-01-31,East,Monitor,Customer_53,4,267.36,1069.44
2024-06-27,North,Laptop,Customer_8,2,741.88,1483.76
2025-08-17,North,Laptop,Customer_39,1,910.02,910.02
2024-10-20,South,Smartwatch,Customer_2,4,182.36,729.44
2025-11-17,South,Tablet,Customer_60,3,394.88,1184.64
2024-06-13,West,Headphones,Customer_32,4,72.04,288.16
2025-03-20,East,Smartwatch,Customer_21,3,232.64,697.92
2024-02-21,North,Keyboard,Customer_21,4,37.34,149.36
2024-03-19,East,Smartwatch,Customer_16,6,200.03,1200.18
2025-02-21,North,Laptop,Customer_55,3,891.78,2675.34
2024-10-21,Central,Keyboard,Customer_59,1,43.23,43.23
2025-07-13,West,Smartwatch,Customer_19,3,197.44,592.32
2025-04-13,South,Laptop,Customer_53,5,925.5,4627.5
2025-04-28,West,Smartwatch,Customer_27,3,235.08,705.24
2024-04-27,East,Tablet,Customer_58,2,355.57,711.14
2024-08-05,North,Monitor,Customer_18,4,261.21,1044.84
2025-12-03,South,Mouse,Customer_3,2,25.79,51.58
2025-04-27,East,Mouse,Customer_44,1,29.09,29.09
2024-05-16,East,Monitor,Customer_11,3,265.39,796.17
2024-09-25,West,Smartwatch,Customer_38,1,182.87,182.87
2024-08-11,West,Monitor,Customer_47,1,253.96,253.96
2025-02-27,North,Headphones,Customer_23,4,87.78,351.12
2025-10-13,South,Smartphone,Customer_59,6,585.73,3514.38
2024-02-17,South,Tablet,Customer_8,2,384.85,769.7
2024-04-18,West,Monitor,Customer_30,2,250.7,501.4
2025-12-05,North,Monitor,Customer_14,2,251.96,503.92
2025-02-08,East,Smartphone,Customer_42,6,607.72,3646.32
2024-03-27,South,Mouse,Customer_46,2,24.18,48.36
2024-08-21,South,Smartphone,Customer_14,2,545.47,1090.94
2024-02-28,West,Laptop,Customer_56,1,766.41,766.41
2025-10-13,West,Monitor,Customer_38,1,276.68,276.68
2024-07-08,North,Monitor,Customer_54,5,266.23,1331.15
2025-08-13,North,Monitor,Customer_48,2,257.68,515.36
2025-04-19,South,Keyboard,Customer_37,7,43.7,305.9
2024-12-11,West,Keyboard,Customer_20,2,40.23,80.46
2025-11-03,East,Smartwatch,Customer_44,1,237.07,237.07
2024-08-07,Central,Mouse,Customer_43,3,25.0,75.0
2025-05-25,North,Smartphone,Customer_9,1,665.51,665.51
2025-10-11,West,Smartwatch,Customer_18,1,199.72,199.72
2025-11-27,North,Headphones,Customer_22,2,77.88,155.76
2025-01-25,South,Laptop,Customer_24,4,883.52,3534.08
2025-11-17,Central,Monitor,Customer_20,1,286.03,286.03
2025-02-22,Central,Smartwatch,Customer_53,3,231.73,695.19
2024-03-10,East,Smartwatch,Customer_25,3,202.11,606.33
2024-02-27,South,Smartphone,Customer_4,5,571.84,2859.2
2024-09-11,South,Laptop,Customer_20,2,720.6,1441.2
2025-09-06,South,Monitor,Customer_43,2,252.91,505.82
2024-09-16,West,Smartphone,Customer_32,3,614.97,1844.91
2024-09-22,South,Monitor,Customer_31,3,248.5,745.5
2025-07-10,North,Laptop,Customer_40,1,899.18,899.18
2025-10-28,East,Laptop,Customer_25,3,898.63,2695.89
2025-02-01,East,Tablet,Customer_48,3,395.17,1185.51
2025-09-28,East,Laptop,Customer_55,3,846.86,2540.58
2025-06-14,North,Monitor,Customer_17,3,253.01,759.03
2024-09-05,East,Smartwatch,Customer_3,1,214.59,214.59
2024-04-21,West,Monitor,Customer_49,2,249.98,499.96
2025-03-05,East,Tablet,Customer_19,3,399.4,1198.2
2025-03-13,South,Monitor,Customer_20,5,267.25,1336.25
2025-04-26,South,Keyboard,Customer_27,5,40.0,200.0
2025-02-28,Central,Tablet,Customer_44,4,376.65,1506.6
2024-04-27,North,Headphones,Customer_2,2,73.48,146.96
2025-06-27,West,Smartphone,Customer_26,2,625.32,1250.64
2024-07-26,East,Smartwatch,Customer_44,3,199.03,597.09
2024-04-18,Central,Headphones,Customer_31,2,74.77,149.54
2025-11-11,South,Smartphone,Customer_36,4,632.8,2531.2
2024-05-02,West,Mouse,Customer_41,4,23.79,95.16
2024-11-10,West,Monitor,Customer_5,1,256.51,256.51
2025-01-17,South,Smartphone,Customer_30,2,632.55,1265.1
2024-12-14,South,Mouse,Customer_11,4,25.12,100.48
2024-05-19,North,Smartphone,Customer_23,3,588.0,1764.0
2025-12-10,North,Keyboard,Customer_31,2,47.51,95.02
2025-07-28,South,Mouse,Customer_47,4,25.34,101.36
2024-01-13,West,Monitor,Customer_4,3,256.69,770.07
2024-07-26,South,Laptop,Customer_53,2,879.28,1758.56
2024-10-23,West,Monitor,Customer_39,1,274.02,274.02
2024-10-18,Central,Keyboard,Customer_1,2,36.98,73.96
2024-10-03,North,Keyboard,Customer_3,3,43.01,129.03
2025-03-09,Central,Monitor,Customer_20,2,246.43,492.86
2024-07-13,East,Mouse,Customer_4,3,24.8,74.4
2025-02-03,West,Smartphone,Customer_51,2,594.42,1188.84
2025-11-08,West,Keyboard,Customer_60,5,42.17,210.85
2025-03-09,Central,Smartphone,Customer_14,8,653.67,5229.36
2024-09-25,North,Headphones,Customer_32,5,77.24,386.2
2025-03-29,East,Keyboard,Customer_33,6,45.18,271.08
2025-06-03,West,Mouse,Customer_38,3,24.61,73.83
2025-04-25,East,Monitor,Customer_23,3,255.87,767.61
2024-08-06,East,Smartphone,Customer_21,4,643.45,2573.8
2025-12-05,West,Keyboard,Customer_2,2,42.48,84.96
2025-09-27,Central,Laptop,Customer_37,2,787.21,1574.42
2024-11-06,North,Laptop,Customer_14,1,797.11,797.11
2024-12-20,North,Smartphone,Customer_20,5,584.28,2921.4
2025-05-22,West,Tablet,Customer_48,2,414.17,828.34
2025-10-03,West,Headphones,Customer_38,1,78.65,78.65
2024-07-01,South,Smartphone,Customer_31,1,560.44,560.44
2025-10-19,West,Headphones,Customer_48,4,86.65,346.6
2025-05-16,West,Tablet,Customer_37,3,340.78,1022.34
2025-01-15,South,Smartwatch,Customer_43,6,231.24,1387.44
2025-05-04,Central,Smartwatch,Customer_54,3,213.63,640.89
2025-05-23,East,Monitor,Customer_40,1,254.75,254.75
2025-04-28,South,Smartwatch,Customer_54,4,234.52,938.08
2024-09-11,Central,Monitor,Customer_32,4,262.46,1049.84
2024-08-02,South,Headphones,Customer_57,1,86.42,86.42
2024-10-11,West,Headphones,Customer_46,2,75.28,150.56
2024-07-05,East,Mouse,Customer_59,1,26.81,26.81
2024-06-30,West,Keyboard,Customer_11,6,40.04,240.24
2024-08-26,West,Smartwatch,Customer_49,1,198.32,198.32
2024-06-16,West,Mouse,Customer_60,5,26.03,130.15
2025-03-04,West,Monitor,Customer_2,5,257.7,1288.5
2025-07-04,North,Monitor,Customer_16,2,253.27,506.54
2024-10-28,East,Tablet,Customer_53,1,351.45,351.45
2024-05-09,North,Mouse,Customer_40,4,24.38,97.52
2025-03-12,South,Keyboard,Customer_31,2,45.49,90.98
2024-07-24,North,Monitor,Customer_41,3,273.54,820.62
2025-10-14,East,Smartphone,Customer_7,2,658.84,1317.68
2024-02-05,North,Headphones,Customer_21,3,87.5,262.5
2025-03-13,South,Smartphone,Customer_48,4,601.98,2407.92
2025-07-18,East,Laptop,Customer_54,1,861.45,861.45
2025-06-23,South,Keyboard,Customer_52,1,45.62,45.62
2025-01-31,Central,Tablet,Customer_50,3,344.63,1033.89
2025-04-25,West,Smartwatch,Customer_39,3,219.68,659.04
2024-03-12,North,Smartphone,Customer_47,5,559.79,2798.95
2025-04-14,Central,Keyboard,Customer_21,3,42.17,126.51
2025-07-12,North,Smartwatch,Customer_53,1,201.01,201.01
2025-03-01,North,Smartphone,Customer_1,3,591.08,1773.24
2024-04-01,North,Tablet,Customer_48,4,348.4,1393.6
2025-07-30,South,Mouse,Customer_50,3,28.29,84.87
2025-06-21,West,Smartwatch,Customer_51,3,212.82,638.46
2024-12-25,South,Tablet,Customer_12,2,379.45,758.9
2025-01-21,West,Mouse,Customer_44,4,24.53,98.12
2024-09-12,East,Monitor,Customer_38,4,273.86,1095.44
2025-03-22,South,Tablet,Customer_58,4,348.89,1395.56
2025-01-16,East,Keyboard,Customer_46,3,47.49,142.47
2024-03-02,South,Smartphone,Customer_10,3,654.18,1962.54
2024-03-17,North,Smartphone,Customer_8,4,625.13,2500.52
2024-02-26,South,Laptop,Customer_52,1,866.92,866.92
2025-01-07,South,Tablet,Customer_5,3,393.66,1180.98
2024-08-08,North,Keyboard,Customer_39,1,39.54,39.54
2024-04-15,Central,Smartwatch,Customer_16,6,217.81,1306.86
2025-03-01,East,Keyboard,Customer_19,3,42.46,127.38
2024-12-29,South,Keyboard,Customer_32,2,42.96,85.92
2024-02-10,North,Headphones,Customer_17,4,81.24,324.96
2024-06-12,South,Monitor,Customer_28,3,249.53,748.59
2024-03-13,South,Monitor,Customer_52,3,227.52,682.56
2024-09-11,North,Mouse,Customer_18,5,26.93,134.65
2025-05-19,Central,Laptop,Customer_25,3,922.1,2766.3
2025-04-12,East,Mouse,Customer_5,2,28.17,56.34
2024-06-06,East,Smartphone,Customer_10,5,606.84,3034.2
2024-09-01,Central,Tablet,Customer_60,2,376.91,753.82
2024-10-24,East,Smartphone,Customer_10,1,564.03,564.03
2024-04-21,East,Monitor,Customer_51,3,268.31,804.93
2024-08-01,South,Tablet,Customer_52,3,326.77,980.31
2025-06-21,Central,Tablet,Customer_19,3,415.63,1246.89
2024-07-13,West,Mouse,Customer_48,3,25.41,76.23
2025-02-17,West,Mouse,Customer_37,2,25.17,50.34
2024-09-08,East,Mouse,Customer_34,1,22.6,22.6
2025-06-17,North,Smartphone,Customer_3,3,621.81,1865.43
2025-11-13,North,Mouse,Customer_50,3,25.12,75.36
2024-09-30,East,Headphones,Customer_2,1,73.28,73.28
2024-09-04,East,Smartphone,Customer_4,2,561.0,1122.0
2025-09-02,North,Keyboard,Customer_11,6,41.87,251.22
2024-09-23,North,Tablet,Customer_28,1,320.98,320.98
2024-01-11,South,Smartphone,Customer_51,3,557.73,1673.19
2024-11-30,South,Smartwatch,Customer_16,2,183.45,366.9
2025-08-16,East,Smartphone,Customer_2,1,595.36,595.36
2025-02-06,Central,Smartphone,Customer_17,1,656.68,656.68
2025-06-22,Central,Mouse,Customer_37,3,27.56,82.68
2024-02-07,East,Smartphone,Customer_40,5,589.51,2947.55
2025-01-29,East,Smartwatch,Customer_34,1,208.23,208.23
2025-01-19,West,Tablet,Customer_36,3,360.13,1080.39
2024-05-04,North,Smartphone,Customer_28,4,547.55,2190.2
2025-03-13,North,Smartwatch,Customer_49,6,211.82,1270.92
2025-01-31,South,Headphones,Customer_29,2,91.1,182.2
2024-09-05,North,Keyboard,Customer_22,1,39.96,39.96
2024-11-04,North,Monitor,Customer_20,2,255.1,510.2
2025-05-22,North,Monitor,Customer_52,3,295.87,887.61
2024-05-15,East,Monitor,Customer_33,4,269.09,1076.36
2024-05-01,North,Keyboard,Customer_37,2,36.4,72.8
2024-10-04,East,Keyboard,Customer_13,2,37.33,74.66
2025-05-08,East,Smartwatch,Customer_37,1,222.63,222.63
2024-07-13,East,Smartphone,Customer_26,1,549.07,549.07
2025-01-30,North,Tablet,Customer_2,5,359.81,1799.05
2025-07-31,West,Smartphone,Customer_17,7,706.6,4946.2
2025-08-09,North,Smartphone,Customer_49,1,710.05,710.05
2025-02-03,West,Headphones,Customer_38,4,90.5,362.0
2024-08-05,North,Laptop,Customer_2,3,734.24,2202.72
2025-06-08,Central,Headphones,Customer_32,1,88.14,88.14
2025-02-27,North,Keyboard,Customer_22,3,40.44,121.32
2024-12-20,Central,Headphones,Customer_10,1,78.91,78.91
2024-09-15,North,Monitor,Customer_25,2,237.85,475.7
2025-01-24,North,Monitor,Customer_46,4,261.69,1046.76
2024-05-31,North,Smartphone,Customer_7,3,554.79,1664.37
2025-05-31,South,Tablet,Customer_23,4,373.59,1494.36
2024-03-07,East,Keyboard,Customer_12,4,43.97,175.88
2024-04-03,East,Monitor,Customer_18,2,228.38,456.76
2025-05-09,North,Keyboard,Customer_51,2,40.89,81.78
2024-02-04,North,Laptop,Customer_21,1,864.28,864.28
2025-02-20,West,Monitor,Customer_1,2,251.32,502.64
2024-02-28,West,Laptop,Customer_19,5,874.73,4373.65
2025-05-31,West,Monitor,Customer_19,1,272.16,272.16
2024-10-13,West,Smartwatch,Customer_41,1,217.52,217.52
2024-08-23,East,Keyboard,Customer_58,1,41.01,41.01
2025-03-16,East,Smartphone,Customer_17,1,697.33,697.33
2025-09-19,South,Keyboard,Customer_6,1,45.22,45.22
2025-04-13,South,Laptop,Customer_24,3,893.38,2680.14
2024-01-09,North,Keyboard,Customer_59,5,39.14,195.7
2025-03-15,North,Smartphone,Customer_21,4,626.55,2506.2
2024-12-07,North,Headphones,Customer_47,1,80.89,80.89
2024-07-17,North,Headphones,Customer_39,3,81.77,245.31
2025-12-05,North,Keyboard,Customer_12,2,47.1,94.2
2024-05-12,North,Headphones,Customer_18,4,84.98,339.92
2024-11-03,East,Tablet,Customer_51,1,372.94,372.94
2024-12-26,East,Smartwatch,Customer_42,6,205.92,1235.52
2024-12-21,West,Laptop,Customer_59,5,727.7,3638.5
2025-07-20,Central,Smartphone,Customer_33,5,682.09,3410.45
2024-07-12,South,Headphones,Customer_53,2,80.88,161.76
2025-01-11,South,Smartphone,Customer_53,2,617.22,1234.44
2025-11-20,West,Monitor,Customer_44,4,281.17,1124.68
2025-12-27,East,Smartwatch,Customer_28,2,206.98,413.96
2024-09-08,West,Smartphone,Customer_17,5,616.19,3080.95
2025-04-22,Central,Mouse,Customer_28,2,29.2,58.4
2024-12-27,East,Smartwatch,Customer_10,4,218.77,875.08
2024-08-19,West,Keyboard,Customer_54,2,39.92,79.84
2024-08-15,East,Laptop,Customer_56,3,738.56,2215.68
2024-07-14,North,Keyboard,Customer_16,1,40.79,40.79
2024-01-26,West,Keyboard,Customer_6,1,37.29,37.29
2025-09-12,South,Headphones,Customer_48,4,91.53,366.12
2024-06-05,Central,Headphones,Customer_45,6,75.02,450.12
2024-01-26,North,Keyboard,Customer_29,4,41.95,167.8
2024-03-23,North,Mouse,Customer_53,1,25.57,25.57
2025-12-28,South,Tablet,Customer_7,4,408.94,1635.76
2024-04-27,North,Mouse,Customer_11,4,26.99,107.96
2024-01-16,South,Monitor,Customer_59,5,253.29,1266.45
2024-09-22,West,Mouse,Customer_26,1,27.46,27.46
2025-01-26,Central,Headphones,Customer_12,3,78.26,234.78
2024-11-09,West,Smartwatch,Customer_57,1,202.83,202.83
2024-07-28,North,Monitor,Customer_12,1,258.86,258.86
2025-06-08,Central,Headphones,Customer_33,2,89.45,178.9
2025-06-23,South,Tablet,Customer_19,3,397.44,1192.32
2024-03-22,South,Laptop,Customer_50,3,846.4,2539.2
2024-03-24,North,Headphones,Customer_59,1,74.42,74.42
2024-06-28,Central,Smartwatch,Customer_44,2,196.22,392.44
2024-03-27,West,Monitor,Customer_14,5,244.11,1220.55
2025-08-17,West,Monitor,Customer_3,4,278.72,1114.88
2025-06-09,Central,Laptop,Customer_20,3,810.19,2430.57
2024-09-25,South,Headphones,Customer_35,3,75.93,227.79
2025-11-18,North,Laptop,Customer_22,1,832.13,832.13
2024-08-13,South,Tablet,Customer_48,1,373.23,373.23
2025-12-04,North,Headphones,Customer_37,2,90.3,180.6
2025-09-13,East,Laptop,Customer_26,1,893.93,893.93
2024-11-08,South,Smartphone,Customer_1,3,582.3,1746.9
2024-05-26,Central,Keyboard,Customer_25,2,37.64,75.28
2024-05-28,South,Smartphone,Customer_45,3,650.13,1950.39
2024-11-05,East,Keyboard,Customer_9,2,40.7,81.4
2024-09-12,East,Monitor,Customer_35,1,272.89,272.89
2025-07-02,Central,Smartwatch,Customer_52,3,222.63,667.89
2025-04-01,North,Laptop,Customer_15,5,843.07,4215.35
2025-04-22,East,Tablet,Customer_34,3,394.17,1182.51
2025-05-06,East,Smartwatch,Customer_56,1,203.64,203.64
